rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/value_loss
-4.85,540672,660.77,243,66,2219,0.7958236187696457,0.0673583984375,-1.6187743593007327,0.0013733860105276108,650,0.0003,-0.009261278663780103,0.2,0.006901537,0.015083644868172996
-4.85,548864,666.51,247,67,2218,0.7940584719181061,0.06986083984375,-1.616530445124954,0.008683333173394203,660,0.0003,-0.01039043775308528,0.2,0.0075384257,0.01512313344719587
-4.85,557056,670.72,251,68,2217,0.7989931255578995,0.0671630859375,-1.5763241432607173,-0.03342001140117645,670,0.0003,-0.009867578062403482,0.2,0.006898528,0.016502308073722816
-4.85,565248,670.56,254,69,2218,0.8056138008832932,0.0536376953125,-1.5847703857347368,-0.018895382061600685,680,0.0003,-0.007817634205821378,0.2,0.0064159962,0.014534859767627495
-4.83,573440,694.79,258,70,2217,0.7915051132440567,0.0754150390625,-1.5782250043936075,-0.006478521972894669,690,0.0003,-0.010689732873470349,0.2,0.008741403,0.015660099940032524
-4.83,581632,719.37,262,71,2216,0.8074722588062286,0.08232421875,-1.5300462750717998,-0.014133870601654053,700,0.0003,-0.012279778322772472,0.2,0.009075796,0.014526854732685024
-4.83,589824,721.59,266,72,2217,0.810845747590065,0.06197509765625,-1.5172909450717271,-0.003964115399867296,710,0.0003,-0.009377866672366508,0.2,0.006577966,0.013044794843335695
-4.84,598016,731.91,269,73,2216,0.7995501309633255,0.07935791015625,-1.5246254063211382,-0.002119744662195444,720,0.0003,-0.009983827448559168,0.2,0.007460054,0.015555592513192096
-4.84,606208,746.12,273,74,2217,0.814680278301239,0.0623291015625,-1.4863096202723682,-0.013713004067540169,730,0.0003,-0.008951067396628787,0.2,0.0071361037,0.01495436268451158
-4.84,614400,748.54,277,75,2216,0.7841523587703705,0.07164306640625,-1.4691842986270784,-0.021542005240917206,740,0.0003,-0.008400237979367375,0.2,0.007751696,0.016040848530246878
-4.86,622592,763.9,280,76,2216,0.7845798283815384,0.0558837890625,-1.4833502176217734,-0.009322269819676876,750,0.0003,-0.008608589948835288,0.2,0.0064424574,0.01531927275536873
-4.86,630784,773.24,284,77,2216,0.799350917339325,0.07030029296875,-1.4627288918942214,-0.02985510043799877,760,0.0003,-0.009307120918674628,0.2,0.007968456,0.013677233219277695
-4.87,638976,787.85,288,78,2216,0.772050067782402,0.07696533203125,-1.4338674822822213,-0.013409415259957314,770,0.0003,-0.0105742901803751,0.2,0.007924633,0.012744768857191956
-4.84,647168,785.98,292,79,2216,0.7884772419929504,0.0592041015625,-1.4223328305408358,-0.01847660355269909,780,0.0003,-0.00858839805750904,0.2,0.0062301024,0.013980554179943283
-4.85,655360,790.74,295,80,2215,0.7870622873306274,0.0714599609375,-1.439590078126639,-0.007395382039248943,790,0.0003,-0.009109103139599029,0.2,0.008131057,0.016493741328667967
-4.85,663552,784.16,299,81,2215,0.7884935885667801,0.08681640625,-1.4160854026675225,0.01427922211587429,800,0.0003,-0.010055692080277368,0.2,0.008250151,0.014530833139360766
-4.84,671744,815.46,303,82,2214,0.7673922628164291,0.0708984375,-1.4128682824783028,0.006852560676634312,810,0.0003,-0.00904445025298628,0.2,0.006751898,0.01605764096675557
-4.84,679936,826.2,306,83,2214,0.7899446487426758,0.0724853515625,-1.384278101567179,-0.0025899684987962246,820,0.0003,-0.009131558496483195,0.2,0.007078868,0.01347797527723742
-4.85,688128,842.73,310,84,2214,0.7705644816160202,0.07418212890625,-1.4010418970137835,-0.024130985140800476,830,0.0003,-0.00933820304890105,0.2,0.008019919,0.015354266766371439
-4.84,696320,867.34,314,85,2215,0.7887939661741257,0.06683349609375,-1.392835062276572,-0.004045118577778339,840,0.0003,-0.008428727209684439,0.2,0.007657348,0.013903985161414311
-4.84,704512,878.21,318,86,2215,0.7537033706903458,0.07764892578125,-1.348243637662381,-0.012090821750462055,850,0.0003,-0.00994430641821964,0.2,0.0076661245,0.014034147523125285
-4.84,712704,890.08,321,87,2215,0.7784021943807602,0.06162109375,-1.3428116073831915,0.002042097505182028,860,0.0003,-0.009188416473807592,0.2,0.0069833044,0.012899549376015784
-4.84,720896,917.22,325,88,2215,0.7510386556386948,0.07506103515625,-1.3617569374851883,0.011244666762650013,870,0.0003,-0.009422041049037943,0.2,0.0078053856,0.01407004883076297
-4.83,729088,934.09,329,89,2215,0.6997746527194977,0.08927001953125,-1.3380282419733702,0.004533102735877037,880,0.0003,-0.010126771089380782,0.2,0.008706551,0.014359430044532929
-4.81,737280,962.82,332,90,2215,0.724865049123764,0.05743408203125,-1.3459526122547687,-0.011566415429115295,890,0.0003,-0.009077659082504397,0.2,0.0066644754,0.014045255750534124
-4.8,745472,992.98,336,91,2215,0.7760760337114334,0.076806640625,-1.305479803774506,-0.030773703008890152,900,0.0003,-0.010371014767770248,0.2,0.0076715928,0.011585454351370572
-4.79,753664,1018.09,340,92,2215,0.7457095682621002,0.0734375,-1.3279874112457037,0.007704292424023151,910,0.0003,-0.009753310721771413,0.2,0.008292754,0.014790421528596198
-4.76,761856,1056.51,343,93,2215,0.7541586607694626,0.08828125,-1.3378084482625128,-0.007537228055298328,920,0.0003,-0.01059799047488923,0.2,0.008024245,0.014078847605196643
-4.75,770048,1091.1,347,94,2215,0.6608945429325104,0.08055419921875,-1.3025927929207683,-0.0010243139695376158,930,0.0003,-0.009552263414661866,0.2,0.00812448,0.013511820735948277
-4.75,778240,1141.71,351,95,2215,0.6987355649471283,0.0703125,-1.324998739361763,-0.03355686739087105,940,0.0003,-0.009118411197505338,0.2,0.007181499,0.01083960049709276
-4.75,786432,1164.55,354,96,2215,0.7294807434082031,0.06630859375,-1.3135688556358218,-0.017255665734410286,950,0.0003,-0.009206950176394457,0.2,0.007148383,0.01130575738789048
-4.76,794624,1209.51,358,97,2215,0.6600162982940674,0.06751708984375,-1.2902260868810118,-0.014701618812978268,960,0.0003,-0.009087452799394668,0.2,0.00858831,0.01186139082747104
-4.75,802816,1259.22,362,98,2215,0.7074229121208191,0.06387939453125,-1.2730291691608726,0.022423334419727325,970,0.0003,-0.008418565438023506,0.2,0.007208922,0.010769470786362945
-4.74,811008,1285.37,366,99,2215,0.6758142709732056,0.08201904296875,-1.2746740377508103,-0.0020564841106534004,980,0.0003,-0.010514655563474662,0.2,0.009185413,0.010067044152219751
-4.74,819200,1302.19,369,100,2215,0.618427574634552,0.095166015625,-1.2524483751505613,-0.028499320149421692,990,0.0003,-0.010210681424723589,0.2,0.008583603,0.014864513805696334
-4.71,827392,1363.94,373,101,2215,0.6268757283687592,0.080126953125,-1.22825494306162,-0.03639974072575569,1000,0.0003,-0.009623018740239787,0.2,0.007782903,0.008577466341921535
-4.68,835584,1412.13,377,102,2215,0.5887937545776367,0.0781005859375,-1.2367266813293099,0.013415981084108353,1010,0.0003,-0.008971831675626162,0.2,0.008142775,0.010010377921662438
-4.64,843776,1455.38,380,103,2215,0.626549631357193,0.084765625,-1.222819885145873,-0.011220001615583897,1020,0.0003,-0.009159800978159183,0.2,0.008777493,0.010434673644613212
-4.59,851968,1509.67,384,104,2214,0.6380530595779419,0.08555908203125,-1.2522320381365717,-0.0036118829157203436,1030,0.0003,-0.009297968966984626,0.2,0.008197057,0.00703877007954361
-4.51,860160,1554.69,388,105,2215,0.5428673624992371,0.0780517578125,-1.2390883293934167,-0.007141870446503162,1040,0.0003,-0.009098128792084026,0.2,0.00797897,0.00999299914092262
-4.45,868352,1630.61,391,106,2215,0.5561406016349792,0.089306640625,-1.2197447774931789,-0.0049232300370931625,1050,0.0003,-0.00899244121810625,0.2,0.0084861955,0.008431145181020838
-4.42,876544,1667.16,395,107,2215,0.6419183611869812,0.06800537109375,-1.2052464963868261,-0.002210707403719425,1060,0.0003,-0.008013876862423785,0.2,0.006724897,0.006928280965894373
-4.31,884736,1723.02,399,108,2215,0.5238176584243774,0.07567138671875,-1.2133803620003163,0.00879983976483345,1070,0.0003,-0.009192645986422577,0.2,0.008178694,0.005295673588125283
-4.24,892928,1788.94,403,109,2215,0.5696982741355896,0.077783203125,-1.18122218279168,-9.53134149312973e-05,1080,0.0003,-0.00937619163578347,0.2,0.007993795,0.00844447050458257
-4.2,901120,1835.1,406,110,2215,0.543511301279068,0.09124755859375,-1.199171432480216,-0.03240159898996353,1090,0.0003,-0.009430161316231533,0.2,0.008806249,0.00800669694822318
-4.17,909312,1880.55,410,111,2215,0.6226699650287628,0.08836669921875,-1.2341051533818246,-0.007203954737633467,1100,0.0003,-0.009847654490931746,0.2,0.008371806,0.006584812214305203
-4.12,917504,1953.09,414,112,2215,0.6673923432826996,0.1015380859375,-1.2013205831870437,-0.01070608664304018,1110,0.0003,-0.008133918315252231,0.2,0.010892775,0.009112450803968386
-4.09,925696,1973.13,417,113,2215,0.5257304906845093,0.089013671875,-1.184294603485614,-0.017921580001711845,1120,0.0003,-0.008599015849631542,0.2,0.008987701,0.00953273061732034
-3.96,933888,2042.75,421,114,2215,0.4779047966003418,0.10045166015625,-1.1853751704096793,-0.021267376840114594,1130,0.0003,-0.009423523957411816,0.2,0.009005297,0.008619080802236567
-3.91,942080,2097.73,425,115,2215,0.5791366100311279,0.084326171875,-1.1575795989017934,-0.016818739473819733,1140,0.0003,-0.009923428512593091,0.2,0.009489296,0.004109839229795398
-3.81,950272,2152.52,429,116,2214,0.6116628348827362,0.107421875,-1.1464714957401156,-0.001434285193681717,1150,0.0003,-0.010082710772076097,0.2,0.009550998,0.007318699486222613
-3.74,958464,2190.14,432,117,2214,0.4723696708679199,0.09661865234375,-1.1799146700650454,0.01914864033460617,1160,0.0003,-0.008640628443026798,0.2,0.009210233,0.006261989572749371
-3.69,966656,2240.68,436,118,2214,0.3952818512916565,0.113427734375,-1.1836356832645833,-0.0223531611263752,1170,0.0003,-0.009642024321237841,0.2,0.009942766,0.004603348789351003
-3.59,974848,2298.6,440,119,2214,0.5156177580356598,0.10771484375,-1.2067370153963566,-0.016623403877019882,1180,0.0003,-0.009113476225320483,0.2,0.010710292,0.00620189852625117
-3.55,983040,2330.58,443,120,2214,0.33786892890930176,0.0794921875,-1.1484574763569981,-0.010965402238070965,1190,0.0003,-0.007323931798055128,0.2,0.00784261,0.006187505574825991
-3.5,991232,2385.46,447,121,2214,0.5144082009792328,0.091015625,-1.1408870643936098,0.010757938027381897,1200,0.0003,-0.008688036482726601,0.2,0.008422596,0.005976059513523068
-3.41,999424,2459.21,451,122,2214,0.6331590414047241,0.092041015625,-1.1267485382966698,-0.022951042279601097,1210,0.0003,-0.008392448548374887,0.2,0.0090968385,0.004675589939324709
-3.37,1007616,2469.97,455,123,2214,0.5433190762996674,0.09625244140625,-1.121293357713148,-0.0041611650958657265,1220,0.0003,-0.010358081875256175,0.2,0.009557778,0.005821850256597827
-3.32,1015808,2500.24,458,124,2214,0.5336532592773438,0.084814453125,-1.1460287085268646,0.008563663810491562,1230,0.0003,-0.008239647254777082,0.2,0.009368692,0.003722519892744458
-3.24,1024000,2556.16,462,125,2214,0.5891526341438293,0.08585205078125,-1.153991319378838,-0.004097598604857922,1240,0.0003,-0.008291418908629566,0.2,0.009907987,0.004846840116624662
-3.24,1032192,2565.35,466,126,2214,0.5397312343120575,0.111083984375,-1.1498653343413026,0.0006669554859399796,1250,0.0003,-0.011421344500286068,0.2,0.011929611,0.006511646355465928
-3.11,1040384,2617.91,469,127,2214,0.5548455119132996,0.10537109375,-1.1118157310876995,0.008733454160392284,1260,0.0003,-0.008804788866291347,0.2,0.009532343,0.0033220672817378728
-3.09,1048576,2649.9,473,128,2214,0.6409639716148376,0.09351806640625,-1.1514778081793338,-0.026668597012758255,1270,0.0003,-0.007758235647997935,0.2,0.009549362,0.004088476414153774
-3.01,1056768,2681.87,477,129,2214,0.6061936318874359,0.10479736328125,-1.1260989201255143,-0.009118538349866867,1280,0.0003,-0.011236283455764351,0.2,0.011280991,0.008404260528732267
-2.9,1064960,2717.61,480,130,2214,0.5919899940490723,0.090625,-1.124606806691736,-0.0267790537327528,1290,0.0003,-0.007904516790813432,0.2,0.009069419,0.0037233183061061935
-2.8,1073152,2753.76,484,131,2214,0.6016215085983276,0.07774658203125,-1.1188725627958775,0.0015518509317189455,1300,0.0003,-0.006506190910658916,0.2,0.00780862,0.003416569559294658
-2.71,1081344,2784.15,488,132,2214,0.5041286051273346,0.1051513671875,-1.1195823594462126,-0.005392175167798996,1310,0.0003,-0.008167154564580415,0.2,0.010079965,0.003427564756634638
-2.57,1089536,2809.26,492,133,2214,0.2536609172821045,0.094189453125,-1.1187450242694468,-0.03412506729364395,1320,0.0003,-0.008927919655980077,0.2,0.010127936,0.001957632456276315
-2.45,1097728,2851.71,495,134,2214,0.4313853979110718,0.0921630859375,-1.12041014325805,-0.02229757234454155,1330,0.0003,-0.008078077319714794,0.2,0.009954375,0.004730852905709071
-2.38,1105920,2886.54,499,135,2214,0.3658970594406128,0.089697265625,-1.1415826826356352,-0.01811305433511734,1340,0.0003,-0.008016427817074146,0.2,0.009471357,0.0033773474463259846
-2.31,1114112,2882.5,503,136,2214,0.4493255019187927,0.0990966796875,-1.14759115469642,-0.002843480557203293,1350,0.0003,-0.008193263067369116,0.2,0.010550864,0.008118231142543664
-2.2,1122304,2910.65,506,137,2214,0.41654646396636963,0.09586181640625,-1.136792991310358,-0.007433122955262661,1360,0.0003,-0.008568013310468813,0.2,0.009720966,0.004583381018960608
-2.15,1130496,2913.15,510,138,2214,0.5570029616355896,0.09869384765625,-1.1261216393206268,-0.015522008761763573,1370,0.0003,-0.008187828528934914,0.2,0.010008354,0.0063420760485314535
-2.14,1138688,2913.15,514,139,2214,0.6299042999744415,0.0847412109375,-1.1110259945038705,0.006712595000863075,1380,0.0003,-0.00861758592636761,0.2,0.0083086435,0.00596206530035488
-2.12,1146880,2913.15,517,140,2214,0.7061360776424408,0.09967041015625,-1.102290608966723,-0.01955478824675083,1390,0.0003,-0.007462153190317622,0.2,0.0096386615,0.0063910793533978
-2.04,1155072,2914.42,521,141,2214,0.5545129179954529,0.08648681640625,-1.0912481580860913,0.01995881088078022,1400,0.0003,-0.010002928513040387,0.2,0.009272939,0.0021574110861365624
-1.96,1163264,2929.58,525,142,2214,0.621699184179306,0.09833984375,-1.1034517930820584,-0.024769768118858337,1410,0.0003,-0.009151171031862759,0.2,0.009844398,0.0032308413386544998
-1.94,1171456,2929.58,528,143,2214,0.3276139497756958,0.105029296875,-1.0848744928836822,0.004033761098980904,1420,0.0003,-0.008741900286622695,0.2,0.01035015,0.002117918302690214
-1.93,1179648,2929.58,532,144,2214,0.4691827893257141,0.1023681640625,-1.069916537217796,0.011894474737346172,1430,0.0003,-0.007525647298825789,0.2,0.010054728,0.0037663261425223025
-1.87,1187840,2946.09,536,145,2214,0.47108203172683716,0.1226806640625,-1.0671363605186344,-0.034124962985515594,1440,0.0003,-0.012597927959632216,0.2,0.011406561,0.008506787423903006
-1.86,1196032,2946.09,540,146,2214,0.5479982495307922,0.1188232421875,-1.087696364428848,-0.003219925332814455,1450,0.0003,-0.008860396476211462,0.2,0.011526791,0.005669400931174096
-1.76,1204224,2949.42,543,147,2214,0.5738494396209717,0.1044677734375,-1.1327991038560867,-0.026301272213459015,1460,0.0003,-0.010053849686937611,0.2,0.010012163,0.004089906577928559
-1.73,1212416,2955.99,547,148,2214,0.47480159997940063,0.08941650390625,-1.137918268656358,-0.027726836502552032,1470,0.0003,-0.009122609738915344,0.2,0.008829581,0.0033546691794072102
-1.67,1220608,2957.64,551,149,2214,0.4684460759162903,0.10037841796875,-1.1551858259830623,-0.021470509469509125,1480,0.0003,-0.007701348128466634,0.2,0.010037003,0.004694762861549862
-1.68,1228800,2963.72,554,150,2214,0.45294803380966187,0.09866943359375,-1.1227190920617431,0.01589886285364628,1490,0.0003,-0.0075492675137866175,0.2,0.009909233,0.0029240317979429163
-1.64,1236992,2963.72,558,151,2214,0.5775581300258636,0.10650634765625,-1.1299591564107687,-0.010483680292963982,1500,0.0003,-0.011518528214219259,0.2,0.00965748,0.006391724086279282
-1.65,1245184,2963.72,562,152,2214,0.48990172147750854,0.09119873046875,-1.1188959124032407,-0.004002766218036413,1510,0.0003,-0.00885943632447379,0.2,0.008108112,0.0014255542721912206
-1.64,1253376,2963.72,565,153,2214,0.6147416234016418,0.104736328125,-1.105981912324205,-0.0018914188258349895,1520,0.0003,-0.008855702314394875,0.2,0.009917919,0.0020208580683288347
-1.63,1261568,2963.72,569,154,2214,0.4557223320007324,0.09312744140625,-1.089011123776436,-0.012190354987978935,1530,0.0003,-0.005837348127352015,0.2,0.009853104,0.005619693335938791
-1.63,1269760,2963.72,573,155,2214,0.5397990345954895,0.09722900390625,-1.1116456361021847,-0.01917574182152748,1540,0.0003,-0.007354473340910772,0.2,0.009521244,0.002557973708201189
-1.68,1277952,2952.68,577,156,2214,0.6075920164585114,0.09052734375,-1.1159139437600971,0.010445429012179375,1550,0.0003,-0.0072375399609882155,0.2,0.008406682,0.007107516168161965
-1.61,1286144,2952.68,580,157,2214,0.5594400465488434,0.09666748046875,-1.1256634138058872,-0.011933316476643085,1560,0.0003,-0.007956100164119562,0.2,0.00875172,0.0044665904455996495
-1.57,1294336,2952.68,584,158,2214,0.47643333673477173,0.0965576171875,-1.1271880200132727,-0.012210121378302574,1570,0.0003,-0.007962239233984291,0.2,0.01005116,0.0011305508194709545
-1.57,1302528,2952.68,588,159,2214,0.4591233730316162,0.1051513671875,-1.123573958268389,0.009379105642437935,1580,0.0003,-0.008217472695014294,0.2,0.010133458,0.004936620603098163
-1.47,1310720,2952.68,591,160,2214,0.3398640751838684,0.09840087890625,-1.1191432462539523,-0.004753743764013052,1590,0.0003,-0.008566541218169733,0.2,0.009822171,0.006222498860006453
-1.41,1318912,2952.68,595,161,2214,0.18062996864318848,0.08336181640625,-1.0915171303320677,-0.01068946160376072,1600,0.0003,-0.0076531868196980215,0.2,0.007750809,0.0034020733377474245
-1.36,1327104,2959.8,599,162,2214,0.32889676094055176,0.092578125,-1.1209269151091577,-0.019348954781889915,1610,0.0003,-0.008392959106004128,0.2,0.0104784435,0.0030357851798726186
-1.33,1335296,2959.8,602,163,2214,0.44496023654937744,0.09990234375,-1.1346654417458921,-0.018077613785862923,1620,0.0003,-0.007801037892932072,0.2,0.009745265,0.001987731788904057
-1.26,1343488,2969.23,606,164,2214,0.19437181949615479,0.0862548828125,-1.1204319636337459,-0.01745886169373989,1630,0.0003,-0.007685779931489378,0.2,0.00867418,0.0011680961287879655
-1.21,1351680,2969.23,610,165,2214,0.36905503273010254,0.0997314453125,-1.1213715603109449,-0.00662969471886754,1640,0.0003,-0.008823770317030721,0.2,0.010406172,0.003230134944215024
-1.15,1359872,2969.23,614,166,2214,0.2085660696029663,0.10498046875,-1.08383519067429,-0.04587089642882347,1650,0.0003,-0.00986014695445192,0.2,0.009914501,0.0028147710712119077
-1.15,1368064,2969.23,617,167,2214,0.6073859333992004,0.10748291015625,-1.0996625552885235,-0.018594859167933464,1660,0.0003,-0.01011284352880466,0.2,0.010467742,0.0020189644853644494
-1.14,1376256,2969.23,621,168,2214,0.46687567234039307,0.11031494140625,-1.1212735584471374,0.0019398638978600502,1670,0.0003,-0.00912072681439895,0.2,0.011325227,0.004284320344982007
-1.17,1384448,2969.23,625,169,2214,0.46613723039627075,0.0933349609375,-1.114586776215583,-0.01444676797837019,1680,0.0003,-0.007600972068030387,0.2,0.009806531,0.004421370473551178
-1.21,1392640,2969.23,628,170,2214,0.4125586152076721,0.09547119140625,-1.1378737011924387,-0.0025254469364881516,1690,0.0003,-0.007867556505152607,0.2,0.009057235,0.0031117219135808226
-1.19,1400832,2969.23,632,171,2214,0.5967665910720825,0.11876220703125,-1.1552907375153154,-0.030911538749933243,1700,0.0003,-0.008853911005826377,0.2,0.012605062,0.0028429739563875954
-1.17,1409024,2977.17,636,172,2214,0.4363994598388672,0.091064453125,-1.1389500006102025,-0.02245434932410717,1710,0.0003,-0.008662893493419688,0.2,0.0093939835,0.004332663007357951
-1.17,1417216,2977.17,639,173,2214,0.4774211645126343,0.0916259765625,-1.1553058799356222,0.006573410704731941,1720,0.0003,-0.00871828520521376,0.2,0.009705232,0.003260016193212323
-1.14,1425408,2988.96,643,174,2214,0.32268792390823364,0.0997314453125,-1.1041009965818376,-0.015122814103960991,1730,0.0003,-0.010216059330196004,0.2,0.009036106,0.0010208675106014198
-1.07,1433600,2988.96,647,175,2214,0.5830026566982269,0.0882080078125,-1.1021356475073845,-0.015073311515152454,1740,0.0003,-0.00843445047021305,0.2,0.008767555,0.0017475591714969595
-1.03,1441792,2988.96,651,176,2214,0.5123786330223083,0.0982666015625,-1.1149067653808742,-0.02073879912495613,1750,0.0003,-0.007766134527082613,0.2,0.00943093,0.002142679660880731
-1.07,1449984,2988.96,654,177,2214,0.23639827966690063,0.10665283203125,-1.1360578668303787,-0.032580722123384476,1760,0.0003,-0.008503108739455456,0.2,0.010174811,0.0027117306509580885
-1.1,1458176,2988.96,658,178,2214,0.37592220306396484,0.10838623046875,-1.1308671491686255,-0.010119074955582619,1770,0.0003,-0.008895319031762484,0.2,0.009726886,0.00277153948469504
-1.07,1466368,2988.96,662,179,2214,0.2863903045654297,0.09959716796875,-1.1167354221455752,-0.011244089342653751,1780,0.0003,-0.009447553920881546,0.2,0.010775121,0.003364014944054361
-1.09,1474560,2988.96,665,180,2214,0.4252886176109314,0.1072998046875,-1.1098177153617144,0.012436237186193466,1790,0.0003,-0.009898400626843796,0.2,0.009765692,0.003677067702574277
-1.12,1482752,2984.35,669,181,2214,0.48603326082229614,0.102392578125,-1.1516808801796288,-0.005780466832220554,1800,0.0003,-0.009001002282457194,0.2,0.009551669,0.0054956735867563115
